iter	Passed	Remaining
559	8568	37332
560	8582	37314
561	8598	37301
562	8612	37281
563	8629	37270
564	8647	37268
565	8662	37251
566	8675	37227
567	8688	37203
568	8704	37187
569	8718	37168
570	8733	37153
571	8748	37133
572	8762	37114
573	8778	37100
574	8792	37081
575	8808	37069
576	8825	37059
577	8839	37040
578	8852	37017
579	8868	37002
580	8881	36980
581	8896	36960
582	8910	36942
583	8926	36926
584	8940	36908
585	8954	36887
586	8968	36868
587	8982	36846
588	8995	36824
589	9012	36812
590	9028	36802
591	9044	36790
592	9059	36771
593	9075	36760
594	9091	36748
595	9106	36731
596	9121	36713
597	9137	36701
598	9151	36681
599	9164	36659
600	9178	36639
601	9193	36620
602	9207	36599
603	9223	36588
604	9238	36574
605	9254	36561
606	9271	36550
607	9286	36535
608	9300	36512
609	9314	36494
610	9330	36482
611	9344	36463
612	9360	36449
613	9376	36436
614	9394	36430
615	9408	36412
616	9423	36397
617	9437	36375
618	9450	36349
619	9463	36329
620	9478	36312
621	9493	36295
622	9510	36285
623	9524	36265
624	9538	36247
625	9552	36227
626	9566	36206
627	9584	36200
628	9600	36189
629	9615	36173
630	9632	36163
631	9649	36155
632	9663	36136
633	9679	36123
634	9695	36110
635	9709	36090
636	9723	36070
637	9738	36053
638	9754	36042
639	9770	36027
640	9785	36012
641	9801	35998
642	9816	35985
643	9833	35973
644	9847	35953
645	9861	35934
646	9876	35917
647	9890	35898
648	9904	35878
649	9920	35864
650	9938	35861
651	9953	35843
652	9967	35824
653	9981	35804
654	9995	35784
655	10008	35761
656	10022	35742
657	10036	35723
658	10049	35698
659	10063	35681
660	10079	35665
661	10091	35641
662	10104	35618
663	10118	35597
664	10130	35571
665	10147	35561
666	10161	35541
667	10174	35521
668	10188	35500
669	10201	35475
670	10214	35455
671	10229	35438
672	10243	35417
673	10257	35398
674	10271	35379
675	10283	35353
676	10295	35327
677	10308	35305
678	10322	35285
679	10337	35270
680	10356	35265
681	10370	35245
682	10383	35225
683	10398	35208
684	10411	35186
685	10425	35166
686	10438	35144
687	10454	35131
688	10468	35112
689	10483	35096
690	10497	35077
691	10511	35059
692	10523	35033
693	10539	35019
694	10554	35003
695	10569	34988
696	10585	34976
697	10600	34960
698	10616	34947
699	10633	34937
700	10651	34933
